ticker,name,issuer,type,is_active,tracked_index,listed_date,note
0050,元大台灣50,元大投信,被動國內,false,FTSE TWSE Taiwan 50,2003-06-30,12 檔散戶熱門
006208,富邦台50,富邦投信,被動國內,false,FTSE TWSE Taiwan 50,2012-07-17,12 檔散戶熱門
0056,元大高股息,元大投信,被動國內,false,FTSE TWSE Taiwan Dividend+,2007-12-26,12 檔散戶熱門
00878,國泰永續高股息,國泰投信,被動國內,false,MSCI 臺灣 ESG 永續高股息精選30,2020-07-20,12 檔散戶熱門
00919,群益台灣精選高息,群益投信,被動國內,false,臺灣精選高息指數 (TIP),2023-10-19,12 檔散戶熱門
00940,元大臺灣價值高息,元大投信,被動國內,false,臺灣價值高息指數,2024-04-01,12 檔散戶熱門
00929,復華台灣科技優息,復華投信,被動國內,false,臺灣科技優息指數 (TIP),2023-06-12,12 檔散戶熱門
00713,元大台灣高息低波,元大投信,被動國內,false,臺灣高息低波動指數,2017-09-27,12 檔散戶熱門
0052,富邦科技,富邦投信,被動國內,false,臺灣資訊科技指數,2006-09-12,12 檔散戶熱門
00881,國泰台灣5G+,國泰投信,被動國內,false,臺灣指數公司特選臺灣上市上櫃5G+通訊指數,2020-12-10,12 檔散戶熱門
00922,國泰台灣領袖50,國泰投信,被動國內,false,臺灣領袖50指數,2023-03-29,12 檔散戶熱門
00992A,主動富邦台灣動能,富邦投信,主動國內,true,(主動式),2024-08-15,12 檔散戶熱門 + 主動對照組
00400A,主動國泰動能高息,國泰投信,主動國內,true,(主動式),2026-04-09,主動對照組
00982A,主動野村台灣優勢,野村投信,主動國內,true,(主動式),2024-09-20,主動對照組
00984A,主動凱基台股增長,凱基投信,主動國內,true,(主動式),2024-10-15,主動對照組
00981A,主動群益優選成長,群益投信,主動國內,true,(主動式),2024-09-05,主動對照組
